脑残粉,"['沙鲁克·汗', '瓦妮·卡普尔', '保罗·布莱克维尔', '玛瑞沃拉·嘉沃斯卡', '李·尼古拉斯·哈里斯', '琼恩·史密斯', '乔蕾·科斯', '扎卡里·柯芬', '理查德·班克斯', '沙尤尼·古普塔', '施芮娅·比尔冈卡尔']",2016-11-02,['印度'],"['剧情', '动作', '悬疑', '惊悚']",6.6,6061,https://movie.douban.com/subject/25824009/
暗杀教室：毕业篇,"['山田凉介', '二宫和也', '菅田将晖', '山本舞香', '桐谷美玲', '春花', '优希美青', '上原实矩', '桥本环奈', '加藤清史郎', '知英', '成宫宽贵', '椎名桔平', '阿部力', '松永有纱', '市川理矩', '佐藤贡三', '吉田健悟']",2016-03-25,['日本'],"['剧情', '动作']",6.6,5943,https://movie.douban.com/subject/26375028/
始动,"['马东锡', '朴正民', '丁海寅', '廉晶雅', '金敏载', '吴在世', '白珠熙', '方恩晶', '许俊硕', '崔成恩', '郭秀贞', '洪仁', '李海云']",2019-12-18,['韩国'],"['剧情', '喜剧']",6.6,5610,https://movie.douban.com/subject/34809353/
余波,"['亚历山大·斯卡斯加德', '凯拉·奈特莉', '杰森·克拉克', '凯特·菲利普斯', '费昂·奥谢', '雅尼克·许曼', '亚历山大·谢尔', '吉姆·海伊', '弗雷德里克·普雷斯顿', '汤姆·贝尔', '克劳迪娅·瓦西科娃']",2019-03-01,"['英国', '美国', '德国']","['剧情', '爱情', '战争']",6.6,5592,https://movie.douban.com/subject/26857860/
他和她的孤独情事,"['詹姆斯·麦卡沃伊', '杰西卡·查斯坦', '妮娜·阿里安达', '维奥拉·戴维斯', '比尔·哈德尔', '塞伦·希德', '伊莎贝尔·于佩尔', '威廉·赫特', '杰丝·威克斯勒', '妮基·米歇尔·詹姆斯', '杰里米·萨默斯', '乔尔·埃哲顿', '玛尔塔·米兰斯']",2014-05-17,['美国'],"['剧情', '爱情']",6.6,5514,https://movie.douban.com/subject/4109746/
爱情避风港,"['乔什·杜哈明', '朱莉安·浩夫', '艾琳·齐格勒', '大卫·莱昂斯', '罗宾·穆林斯', '胡安·彼德拉伊塔', '寇碧·史莫德斯', '里克·赖茨', '蜜米·柯克兰']",2013-02-14,['美国'],"['剧情', '爱情', '悬疑']",6.6,5446,https://movie.douban.com/subject/5327216/
学校霸王,"['林志颖', '金城武', '林心如', '江国宾', '朱家麟', '卢淑芳']",1995-04-27,"['中国台湾', '中国香港']","['动作', '喜剧', '剧情']",6.6,5427,https://movie.douban.com/subject/2079632/
康定情歌,"['苏有朋', '居文沛', '蒲巴甲', '翁虹', '卢奇', '何政军', '张光北', '吴军', '马以', '谢润', '袁文霆', '刘艺']",2010-11-05,['中国大陆'],"['剧情', '战争', '冒险']",6.6,5295,https://movie.douban.com/subject/5045804/
美眉校探 电影版,"['克里斯汀·贝尔', '杰森·多灵', '恩里克·克兰东尼', '克里斯·劳威尔', '珀西·达格斯三世', '蒂娜·米乔里诺', '克里斯滕·里特', '马丁·斯塔尔', '盖比·霍夫曼', '杰瑞·奥康奈尔', '弗朗西斯·卡普拉', '瑞恩·汉森', '莫瑞·史特林', '萨姆·亨廷顿', '马克思·格林菲尔德', '达兰·诺里斯', '阿曼达·诺雷特', 'Christiann Castellanos', '爱登·舍尔', '克里斯蒂娜·拉金', '莉莎·托恩希尔', 'Harvey Levin', '帕特里克·考克斯', '亚当·约翰逊', '伊拉·格拉斯', 'Alejandro Escovedo', '拉里·贝茨', 'Matthew Arkin', '戴夫·艾伦', '埃迪·杰米森', '因格·内哈斯', '杰西卡·卡马乔', '梅雷蒂斯·伊顿', '杰米·李·柯蒂斯', '戴克斯·夏普德', '杰罗米菲茨杰罗德', '多里安·金', '肯·马里诺', '凯文·谢里丹', '杜恩·丹尼尔斯', '梅丽莎·苏·安德森', '凯尔·柏海莫', '詹姆斯·弗兰科', '亚当·哈特', '贾斯汀·朗', 'Geoff Pilkington', '曼纽尔·杰里·科丁']",2014-03-14,['美国'],"['剧情', '喜剧', '犯罪']",6.6,5161,https://movie.douban.com/subject/22604659/
尚衣院,"['韩石圭', '高修', '朴信惠', '柳演锡', '马东锡', '申素率', '赵达焕', '李侑菲', '朴素丹', '文昌吉', '许成泰', '宋智贤', '朴秉恩', '韩智恩', '裴晟祐', '梁银容']",2014-12-24,['韩国'],['剧情'],6.6,5160,https://movie.douban.com/subject/25800269/
不道德的故事,"['赖斯·丹弗斯', '法布莱斯·鲁奇尼', '夏洛特·亚历珊卓', '帕洛玛·毕加索', '帕斯卡尔.克里斯多夫', '玛丽·弗萨']",1974-08-28,['法国'],"['剧情', '爱情', '情色']",6.6,4988,https://movie.douban.com/subject/1476926/
R2B：回到基地,"['郑智薰', '申世京', '刘俊相', '吴达洙', '李荷娜', '金圣洙', '李钟硕', '崔范浩', '朴成焄', '金成贤', '郑锡元', '赵成夏']",2012-08-14,['韩国'],"['剧情', '动作']",6.6,4895,https://movie.douban.com/subject/5395262/
艾曼纽,"['阿兰·居尼', '西尔维娅·克里斯蒂', '玛莉卡·格林', 'Daniel Sarky', '克里斯蒂娜·布瓦松', '让娜·科勒坦']",1974-06-26,['法国'],"['剧情', '情色']",6.6,4703,https://movie.douban.com/subject/1296869/
清水里的刀子,['杨生仓'],2018-04-04,['中国大陆'],['剧情'],6.6,4691,https://movie.douban.com/subject/26593732/
凤凰劫,"['丹尼斯·奎德', '泰瑞斯·吉布森', '吉奥瓦尼·瑞比西', '米兰达·奥图', '托尼·库兰', '斯蒂奇·芬格茨', '贾克波·瓦格斯', '休·劳瑞', '斯科特·迈克尔·坎贝尔', '贾德·帕达里克', 'Paul Ditchfield', '鲍勃·布朗', '安东尼·布兰登·黄']",2005-05-27,['美国'],"['动作', '冒险', '剧情', '惊悚']",6.6,4667,https://movie.douban.com/subject/1308982/
告别单身,"['金惠秀', '马东锡', '金贤秀', '郭时旸', '徐玄振', '金容建', '米锡', '京承焕', '孙淑子', '金仲基', '金根英', '李秀卿', '李善彬', '조연호', '柳惠琳', '安宰弘', '郑元中', '白书怡', '韩材锡', '裴侑蓝', '鄭宇植', '金宝仑', '金希澈']",2016-06-29,['韩国'],"['剧情', '喜剧']",6.6,4539,https://movie.douban.com/subject/26386434/
柠檬时期,"['荣仓奈奈', '谷村美月', '林直次郎', '石井正则', '柄本佑', '石田法嗣', '大地康雄', '中村麻美', '织本顺吉', '波瑠']",2007-03-31,['日本'],"['剧情', '爱情']",6.6,4490,https://movie.douban.com/subject/2042618/
多米诺,"['凯拉·奈特莉', '米基·洛克', '埃德加·拉米雷兹', '德尔罗伊·林多', '莫妮克', '刘玉玲', '杰奎琳·比塞特', '米娜·苏瓦丽', '克里斯托弗·沃肯', '玛西·格雷', '达布尼·柯尔曼', '布莱恩·奥斯汀·格林', '伊恩·齐林', 'Domino Harvey', '阿什·克里斯蒂安', '桑德瑞拉·艾弗里', 'Michael J. Gonzalez', '汤姆·威兹', '莉莉·米罗基尼克', 'Rebecca Engel', '莉萨·拉皮拉', '杰瑞·斯普林格', '玛丽·卡斯特罗', 'Chuck Picerni Jr.', '切莱丝塔·霍奇', '尼尔·马塔拉佐', '保罗·斯凯勒', '彼得·雅各布森', '朱利安·柏林', 'Ashleigh Kizer', '卢·坦普尔', '查尔斯·帕拉文蒂', '罗兰多·莫利纳', '安迪·米尔德', '阿莉·雷伊', '帕特里克·科尔', '斯坦利·卡梅尔', '弗雷德里克·凯勒', 'TK·卡特', 'Ashley Monique Clark', 'Matt Clifford', 'Sarem Yadegari', 'Greg Mitchell', 'Andrzej Mrotek', '海蒂·霍金', 'Jackson Bolt', 'Robbie Kaller', 'Melissa Lee', '维姬高德史密斯', 'Tony Flores', '迈克尔·帕帕约翰', 'Tiger Mendez']",2005-10-14,"['法国', '美国', '英国']","['剧情', '动作', '惊悚', '传记', '犯罪']",6.6,4353,https://movie.douban.com/subject/1422915/
舞梦成真,"['玛丽·伊丽莎白·温斯特德', '阿什丽·罗伯茨', '泰莎·汤普森', '瑞利·史密斯', '约翰·里尔登', '利·恩斯', '戈登·坦纳', 'Debbie Patterson', '朱莉莎·伯尔穆德兹', '萨拉·汤普森']",2008-08-08,['美国'],['剧情'],6.6,4332,https://movie.douban.com/subject/3011289/
查理的生与死,"['扎克·埃夫隆', '金·贝辛格', '阿曼达·克鲁', '戴夫·弗兰科', '田· 薇拉莉', '查理·塔汉', '泰德·惠托尔']",2010-07-30,['美国'],"['剧情', '爱情']",6.6,4327,https://movie.douban.com/subject/3735153/
瑞奇,"['塞尔希·洛佩斯', '亚历山德拉·拉米', '安德烈·维尔姆斯', '让-克劳德·古卢姆伯格', '梅路什·玛亚奇']",2009-02-11,"['法国', '意大利']","['喜剧', '剧情', '奇幻']",6.6,4114,https://movie.douban.com/subject/3005375/
延坪海战,"['晋久', '李玹雨', '金武烈', '李莞', '李清娥', '千敏熙', '郑东奎', '权五镇', '金河均', '金東範', 'Si-hyun Kwon', 'Lee Han-jong', '金江日', '权华焕', '姜汉泉', '许多晶']",2015-06-24,['韩国'],"['剧情', '战争']",6.6,4052,https://movie.douban.com/subject/24843623/
吸血女伯爵,"['安娜·弗莱尔', '卡瑞尔·罗登', '文森特·里根', '迪娜·霍瓦索瓦', '克里丝提娜·玛洛娃 ', 'Ladislav Ondrej', '伊里·马德尔', '彼得·雅克尔', 'Sandra Pogodová', 'Derek Dimir Pavelcik', 'Michaela Drotárová', '罗比·凯', 'Vladimír T. Gottwald', 'Marian Roden', '卡雷尔·多布雷', '波莱克·波利夫卡', '露西·冯德拉科娃', '莫妮卡·希尔梅罗娃', '安德烈·赫里科', '安德鲁·蒂曼', '弗兰科·内罗', '汉斯·麦瑟逊', 'Jirí Krytinár', 'Jirí Korn', '马雷克·瓦苏特', 'Ilona Svobodová', 'Zdenek Podhurský', 'Tim Preece', '雅罗米尔·诺塞克', 'Tatjana Medvecká', 'Zdenek Maryska', 'Jan Vlasák']",2008-07-10,['捷克斯洛伐克/捷克/英国/匈牙利/美国'],"['剧情', '奇幻', '历史']",6.6,4006,https://movie.douban.com/subject/2303817/
希望温泉,"['梅丽尔·斯特里普', '汤米·李·琼斯', '史蒂夫·卡瑞尔', '珍·斯马特', '本·拉普帕波特', '马琳·爱尔兰', 'Barbara Darragh', '布雷特·赖斯', '米密·罗杰斯', '伊丽莎白·苏', '苏珊·米斯纳尔']",2012-08-08,['美国'],"['剧情', '喜剧']",6.6,3999,https://movie.douban.com/subject/5968304/
小布什传,"['乔什·布洛林', '伊丽莎白·班克斯', '坦迪·牛顿', '艾伦·伯斯汀', '理查德·德莱福斯', '杰弗里·怀特', '詹姆斯·克伦威尔', '斯科特·格伦', '托比·琼斯', '科林·汉克斯', 'Halley Rachal', '乔恩·迈克尔·戴维斯', '泰勒·崔德威尔', 'Jennifer Sipes', 'Matthew Ramsaur', 'Chuck Vail', '布伦特·塞克斯顿', '布鲁斯·麦克吉尔', '保罗·瑞', '章小蕙', '胡安·加布里·帕雷哈', 'Scott Yarnell', 'Anne Pressly', 'Sean M. Sellers', ""Michael C. 'Mike' Allen"", 'James W. Spradling II', '艾恩·格拉法德', '斯泰西·基齐', '杰西·布拉德福特', '诺亚·怀尔', '西恩·斯通', '罗伯·考德瑞', '费尔南多·劳拉', '乔纳森·布瑞克', '杰森·雷特', '玛丽·谢尔顿', 'Johnny Wright', 'Tucker Wells', 'Trent Dee', 'Jim Garrity', '约翰·布法罗·梅勒', '詹姆斯·马丁·凯利', '迈克尔·加斯顿', '克里斯·弗雷霍夫', '丹尼斯·布特斯卡里斯', '大卫·博恩', 'Steven E. Williams', '布伦特·韦斯纳']",2008-10-17,"['美国', '澳大利亚', '中国香港', '瑞士', '中国大陆']","['剧情', '传记', '历史']",6.6,3952,https://movie.douban.com/subject/3010415/
小混乱,"['凯特·温丝莱特', '海伦·麦克洛瑞', '斯坦利·图齐', '艾伦·瑞克曼', '詹妮弗·艾莉', '马提亚斯·修奈尔', '史蒂芬·威丁顿', '丹尼·韦伯', '保琳·莫兰', '菲丽达·劳', '阿利斯泰·皮垂', '亚当·詹姆斯', '宝拉·保罗', '威廉·阿兰姆']",2014-09-13,['英国'],"['剧情', '喜剧', '爱情']",6.6,3949,https://movie.douban.com/subject/21349301/
沙堡,"['亨利·卡维尔', '汤米·弗拉纳根', '尼古拉斯·霍尔特', '罗根·马歇尔-格林', '格伦·鲍威尔', '博·纳普', '小尼尔·布朗', '萨姆·斯普卢尔 ', '纳维德·内加班', '帕克·索耶', '冈萨洛·门内德斯', '萨米·谢伊克', '纳比勒·埃卢比', '齐亚德·阿巴扎', '索佩·迪瑞苏', '尼古拉斯·雅各布', '奥赛·伊克希尔', '杰克·费尔布罗勒', '阿米拉·加扎拉']",2017-04-21,['美国'],"['剧情', '战争']",6.6,3941,https://movie.douban.com/subject/25884712/
加州公路巡警,"['迈克尔·佩纳', '戴克斯·夏普德', '杰西卡·麦克娜美', '亚当·布罗迪', '瑞恩·汉森', '克里斯汀·贝尔', '文森特·多诺费奥', '本·法尔科内', '贾斯汀·查特文', '罗莎·萨拉查', '玛娅·鲁道夫', '亚当·罗德里格兹', '简·卡兹玛拉克', '维达·茱拉', '玛拉·马里尼']",2017-03-24,['美国'],"['剧情', '喜剧', '动作']",6.6,3883,https://movie.douban.com/subject/3011328/
挡不住的疯情,"['任达华', '翁虹', '王敏德', '尹扬明', '罗兰', '周树基', '冯国辉', 'K.K. Raina', '库尔布尚·卡尔班达']",1993-01-29,['中国香港'],"['剧情', '情色']",6.6,3823,https://movie.douban.com/subject/4236014/
边城浪子,"['狄龙', '陈勋奇', '陈玉莲', '袁咏仪', '袁洁莹', '张智霖', '罗嘉良', '冯克安', '寇占文', '张续晟']",1993-10-28,['中国香港'],"['动作', '剧情', '悬疑']",6.6,3816,https://movie.douban.com/subject/1304538/
神秘群岛,"['黛米·摩尔', '詹姆斯·科兹莫', '汉斯·麦瑟逊', '亨利·伊安·库斯克', 'Beans El-Balawi']",2006-01-17,"['英国', '德国']","['剧情', '恐怖', '悬疑', '惊悚']",6.6,3724,https://movie.douban.com/subject/1440685/
清道夫,"['肖恩·宾', '夏洛特·兰普林', '阿宾·格雷亚', '彼得·多卡普', '塔彭丝·米德尔顿', '汤姆·伯克', '山姆·道格拉斯', '米歇尔·雷恩', '拉塞尔·巴洛格', '詹森·弗里曼', '克里斯·吉尔', '克里斯·雷曼', '詹姆斯·福克斯', '露丝·威尔森']",2012-03-09,['英国'],"['剧情', '犯罪', '惊悚']",6.6,3664,https://movie.douban.com/subject/5156515/
猫咪后院之家,"['伊藤淳史', '忽那汐里', '户田昌宏', '大久保佳代子', '田口智朗', '木村多江', '青户浩香']",2017-04-08,['日本'],['剧情'],6.6,3630,https://movie.douban.com/subject/26954690/
黑蛇呻吟,"['塞缪尔·杰克逊', '克里斯蒂娜·里奇', '贾斯汀·汀布莱克', '威利·霍尔']",2006-09-09,['美国'],['剧情'],6.6,3553,https://movie.douban.com/subject/1441236/
惊魂眼,"['凯特·布兰切特', '吉奥瓦尼·瑞比西', '基努·里维斯', '凯蒂·霍尔姆斯', '格雷戈·金尼尔', '希拉里·斯万克', '迈克尔·杰特', '金·迪肯斯', '盖瑞·科尔', '罗斯玛丽·哈里斯', 'J·K·西蒙斯', '切尔西·罗斯', '约翰·比斯利', 'Lynnsee Provence', 'Yvetta Young', 'Ray Wineteer', 'Erik Cord', 'Nathan Lee Lewis', '丹尼·艾夫曼', '斯图尔特·格利尔', 'Russell Durham Comegys']",2000-12-20,['美国'],"['犯罪', '剧情', '悬疑', '惊悚']",6.6,3481,https://movie.douban.com/subject/1297336/
日光之下,"['吕星辰', '吴晓亮', '王佳佳', '陈永忠', '王维申']",2020-11-27,['中国大陆'],['剧情'],6.6,3453,https://movie.douban.com/subject/34825959/
三太太,"['阮如琼', '陈女燕溪', '阮芳茶眉', '黎武隆', '玛雅', '清美', '梅吉薇']",2018-09-07,['越南'],['剧情'],6.6,3308,https://movie.douban.com/subject/3692826/
第一次不是你,"['马志威', '蒋家旻', '江美仪', '陈敏之', '商天娥', '卢海鹏', '连诗雅', '古明华', '钟一宪', '麦长青', '李蕙敏', '庄思敏', '何浩文', '吴若希', '林盛斌', '汤怡', '黎芷珊', '陈嘉宝', '倪晨曦', '陈沛妍', '赵慧珊', '蔡明芳', '黃可盈']",2013-09-12,['中国香港'],"['剧情', '爱情']",6.6,3307,https://movie.douban.com/subject/22557483/
边域之城,"['卡瑞娜·泰斯塔', '奥雷利昂·维依科', '塞缪尔·勒·比汉', '埃斯特尔·莱弗比尔', 'Yannick Dahan', 'Patrick Vigne', 'Chems Dahmani', 'Jean-Pierre Jorris', '莫德·弗盖特']",2007-07-01,"['法国', '瑞士']","['犯罪', '剧情', '恐怖', '惊悚']",6.6,3296,https://movie.douban.com/subject/2133483/
惊唇劫,"['摩根·弗里曼', '艾什莉·贾德', '加利·艾尔维斯', '亚历克斯·麦克阿瑟', '托尼·戈德温', '罗安妮·毕晓普', '米娜·苏瓦丽']",1997-11-13,['美国'],"['犯罪', '剧情', '悬疑', '惊悚']",6.6,3243,https://movie.douban.com/subject/1293903/
移民,"['玛丽昂·歌迪亚', '华金·菲尼克斯', '杰瑞米·雷纳', '达格玛拉·多敏齐克', '安吉拉·萨拉弗安', '安东尼·科隆', '迪伦·哈蒂根', '加布里埃尔·拉什', '马修·汉弗莱斯', '凯文·坎农', '詹姆斯·科尔比', '伊利亚·沃里克', 'Maja Wampuszyc', 'Jicky Schnee', '索菲亚·布莱克-德埃利亚']",2013-05-24,"['美国', '法国']","['剧情', '爱情']",6.6,3213,https://movie.douban.com/subject/7051805/
蛋糕,"['詹妮弗·安妮斯顿', '艾德里安娜·巴拉扎', '安娜·肯德里克', '萨姆·沃辛顿', '菲丽西提·霍夫曼', '威廉姆·H·梅西', '克里斯·梅西纳', '露茜·彭奇', '布丽特·罗伯森', '麦米·古默', '保拉·凯奥', '阿什利·克劳', '曼努埃尔·加西亚-鲁尔福', '卡蜜尔·古阿蒂', '阿伦·马尔多纳多', '卡米勒·玛娜', '胡里奥·奥斯卡·门乔索', '帕皮·塞尔纳', '米丝蒂·阿哈姆', '罗斯·阿卜杜', '阿尔玛·马丁内斯', '伊万·奥图尔']",2014-09-08,['美国'],['剧情'],6.6,3213,https://movie.douban.com/subject/25836143/
震撼性教育,"['詹妮弗·比尔斯', '坎贝尔·斯科特', '杰西·艾森伯格', '伊莎贝拉·罗西里尼', 'Courtney Sherman', 'Tommy Savas', '奥托·艾森度', 'Stephanie Gatschet', 'Gabriel Millman', '彼得·阿佩尔', '莫蕾娜·巴卡琳', 'George VanBuskirk', '本·申克曼', '伊丽莎白·伯克利']",2002-09-08,['美国'],"['喜剧', '剧情']",6.6,3209,https://movie.douban.com/subject/1308002/
丰臣公主,"['绫濑遥', '冈田将生', '堤真一', '中井贵一', '沢木瑠可', '森永悠希', '笹野高史', '和久井映见', '骏河太郎', '菊池桃子', '玉木宏', '合田雅史']",2011-05-28,['日本'],"['剧情', '悬疑']",6.6,3139,https://movie.douban.com/subject/4751198/
